
2025/04/19 (08:38:45) | ===> btop++ v.1.4.0
2025/04/19 (08:38:45) | WARNING: Failed to join _runner thread on exit!

2025/04/19 (19:44:18) | ===> btop++ v.1.4.0
2025/04/19 (19:44:18) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/19 (19:44:18) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/04/19 (19:44:18) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/04/19 (19:44:18) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/19 (19:44:18) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/19 (19:44:18) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/19 (19:44:18) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/20 (09:26:50) | ===> btop++ v.1.4.0
2025/04/20 (09:26:50) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/20 (09:26:50) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/04/20 (09:26:50) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/04/20 (09:26:50) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/20 (09:26:50) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/20 (09:26:50) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/20 (09:26:50) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/20 (09:29:26) | ===> btop++ v.1.4.0
2025/04/20 (09:29:26) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/20 (09:29:26) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/04/20 (09:29:26) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/04/20 (09:29:26) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/20 (09:29:26) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/20 (09:29:26) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/20 (09:29:26) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/04/20 (09:29:40) | WARNING: Failed to join _runner thread on exit!

2025/04/20 (13:08:41) | ===> btop++ v.1.4.0
2025/04/20 (13:08:41) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/20 (13:08:41) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/04/20 (13:08:41) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/04/20 (13:08:41) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/20 (13:08:41) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/20 (13:08:41) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/20 (13:08:41) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/04/20 (13:09:04) | WARNING: Failed to join _runner thread on exit!
